DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2014-12-31 23:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	44474.91	2021-02-10 17:45:55
2014-12-31 23:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	44839.67	2021-02-10 17:45:55
2014-12-31 23:45:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	44507.17	2021-02-10 17:45:55
2014-12-23 07:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	31164.00	2017-09-14 04:00:08
2014-12-23 06:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	27831.00	2017-09-14 04:00:08
2014-12-26 04:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	19231.00	2017-09-14 04:00:09
2014-12-26 03:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	18761.00	2017-09-14 04:00:09
2014-12-26 02:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	18948.00	2017-09-14 04:00:09
2014-12-26 01:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	19629.00	2017-09-14 04:00:09
2014-12-26 00:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	21015.00	2017-09-14 04:00:09
2014-12-26 15:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	26947.00	2017-09-14 04:00:09
2014-12-26 14:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	27272.00	2017-09-14 04:00:09
2014-12-26 13:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	28577.00	2017-09-14 04:00:09
2014-12-26 12:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	29354.00	2017-09-14 04:00:09
2014-12-26 11:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	29183.00	2017-09-14 04:00:09
2014-12-26 10:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	29778.00	2017-09-14 04:00:09
2014-12-26 09:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	29510.00	2017-09-14 04:00:09
2014-12-26 08:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	27734.00	2017-09-14 04:00:09
2014-12-26 07:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	25212.00	2017-09-14 04:00:09
2014-12-26 06:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	22936.00	2017-09-14 04:00:09
2014-12-26 05:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	20601.00	2017-09-14 04:00:09
2014-12-27 16:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	27818.00	2017-09-14 04:00:09
2014-12-27 15:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	27288.00	2017-09-14 04:00:09
2014-12-27 14:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	27840.00	2017-09-14 04:00:09
2014-12-27 13:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	27981.00	2017-09-14 04:00:09
2014-12-27 12:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	28383.00	2017-09-14 04:00:09
2014-12-27 11:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	28360.00	2017-09-14 04:00:09
2014-12-27 10:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	28829.00	2017-09-14 04:00:09
2014-12-27 09:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	28542.00	2017-09-14 04:00:09
2014-12-27 08:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	26040.00	2017-09-14 04:00:09
2014-12-27 07:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	23419.00	2017-09-14 04:00:09
2014-12-27 06:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	22005.00	2017-09-14 04:00:09
2014-12-27 05:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	20884.00	2017-09-14 04:00:09
2014-12-27 04:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	20040.00	2017-09-14 04:00:09
2014-12-27 03:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	19874.00	2017-09-14 04:00:09
2014-12-27 02:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	20212.00	2017-09-14 04:00:09
2014-12-27 01:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	21095.00	2017-09-14 04:00:09
2014-12-27 00:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	22680.00	2017-09-14 04:00:09
2014-12-26 23:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	25027.00	2017-09-14 04:00:09
2014-12-26 22:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	27598.00	2017-09-14 04:00:09
2014-12-26 21:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	29681.00	2017-09-14 04:00:09
2014-12-26 20:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	31083.00	2017-09-14 04:00:09
2014-12-26 19:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	31192.00	2017-09-14 04:00:09
2014-12-26 18:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	31163.00	2017-09-14 04:00:09