DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	ProductionType	ActualGenerationOutput	ActualConsumption	UpdateTime
2015-02-01 14:00:00.000	PT60M	10YLV-1001A00074	CTY	LV CTY	LV	Hydro Water Reservoir	249.00		2017-09-13 15:59:34
2015-02-01 15:00:00.000	PT60M	10YLV-1001A00074	CTY	LV CTY	LV	Hydro Water Reservoir	253.00		2017-09-13 15:59:34
2015-02-01 16:00:00.000	PT60M	10YLV-1001A00074	CTY	LV CTY	LV	Hydro Water Reservoir	299.00		2017-09-13 15:59:34
2015-02-01 17:00:00.000	PT60M	10YLV-1001A00074	CTY	LV CTY	LV	Hydro Water Reservoir	272.00		2017-09-13 15:59:34
2015-02-01 18:00:00.000	PT60M	10YLV-1001A00074	CTY	LV CTY	LV	Hydro Water Reservoir	247.00		2017-09-13 15:59:34
2015-02-01 19:00:00.000	PT60M	10YLV-1001A00074	CTY	LV CTY	LV	Hydro Water Reservoir	190.00		2017-09-13 15:59:34
2015-02-01 20:00:00.000	PT60M	10YLV-1001A00074	CTY	LV CTY	LV	Hydro Water Reservoir	127.00		2017-09-13 15:59:34
2015-02-01 21:00:00.000	PT60M	10YLV-1001A00074	CTY	LV CTY	LV	Hydro Water Reservoir	52.00		2017-09-13 15:59:34
2015-02-01 22:00:00.000	PT60M	10YLV-1001A00074	CTY	LV CTY	LV	Hydro Water Reservoir	45.00		2017-09-13 15:59:34
2015-02-01 23:00:00.000	PT60M	10YLV-1001A00074	CTY	LV CTY	LV	Hydro Water Reservoir	0.00		2017-09-13 15:59:34
2015-02-01 00:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	0.00		2017-09-13 15:59:34
2015-02-01 01:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	0.00		2017-09-13 15:59:34
2015-02-01 02:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	0.00		2017-09-13 15:59:34
2015-02-01 03:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	0.00		2017-09-13 15:59:34
2015-02-01 04:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	6.00		2017-09-13 15:59:34
2015-02-01 05:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	50.00		2017-09-13 15:59:34
2015-02-01 06:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	51.00		2017-09-13 15:59:34
2015-02-01 07:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	142.00		2017-09-13 15:59:34
2015-02-01 08:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	192.00		2017-09-13 15:59:34
2015-02-01 09:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	183.00		2017-09-13 15:59:34
2015-02-01 10:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	194.00		2017-09-13 15:59:34
2015-02-01 11:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	195.00		2017-09-13 15:59:34
2015-02-01 12:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	225.00		2017-09-13 15:59:34
2015-02-01 13:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	232.00		2017-09-13 15:59:34
2015-02-01 14:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	249.00		2017-09-13 15:59:34
2015-02-01 15:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	253.00		2017-09-13 15:59:34
2015-02-01 16:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	299.00		2017-09-13 15:59:34
2015-02-01 17:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	272.00		2017-09-13 15:59:34
2015-02-01 18:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	247.00		2017-09-13 15:59:34
2015-02-01 19:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	190.00		2017-09-13 15:59:34
2015-02-01 20:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	127.00		2017-09-13 15:59:34
2015-02-01 21:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	52.00		2017-09-13 15:59:34
2015-02-01 22:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	45.00		2017-09-13 15:59:34
2015-02-01 23:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Hydro Water Reservoir	0.00		2017-09-13 15:59:34
2015-02-01 00:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Other	95.00		2017-09-13 15:59:34
2015-02-01 01:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Other	95.00		2017-09-13 15:59:34
2015-02-01 02:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Other	97.00		2017-09-13 15:59:34
2015-02-01 03:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Other	98.00		2017-09-13 15:59:34
2015-02-01 04:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Other	98.00		2017-09-13 15:59:34
2015-02-01 05:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Other	98.00		2017-09-13 15:59:34
2015-02-01 06:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	Other	97.00		2017-09-13 15:59:34